Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_agent_login_and_view_dashboard,50,364,358,405,419,446,292,454,0.0,False
jmeter_agent_add_comment:open_request_comment,864,18,17,21,23,43,12,72,0.0,False
jmeter_agent_add_comment:save_request_comment,864,412,405,476,508,589,297,859,0.0,False
jmeter_agent_view_request,796,253,247,320,347,394,163,462,0.0,False
jmeter_agent_browse_projects,334,66,64,78,89,109,49,125,0.0,False
jmeter_agent_view_customers,198,749,732,865,898,981,578,997,0.0,False
jmeter_agent_view_queues_small:all_open_queue,167,999,1057,1261,1306,1367,339,1475,0.0,False
jmeter_agent_view_queues_small:random_queue,167,310,304,376,390,442,223,480,0.0,False
jmeter_agent_view_report_workload_small,134,1867,1880,2281,4672,5604,240,5775,0.0,False
jmeter_agent_view_queues_medium:all_open_queue,133,985,1029,1298,1320,1404,558,1534,100.0,False
jmeter_agent_view_queues_medium:random_queue,133,318,313,375,396,442,225,666,0.0,False
jmeter_agent_view_report_workload_medium,100,1099,1008,1282,2152,2269,752,2287,0.0,False
jmeter_agent_view_report_created_vs_resolved_medium,67,156,156,178,196,202,124,203,0.0,False
jmeter_agent_view_report_created_vs_resolved_small,165,162,157,197,208,250,125,277,0.0,False
jmeter_customer_login_and_view_portals,30,513,502,548,585,606,466,607,0.0,False
jmeter_customer_view_requests:my_requests,2746,282,276,325,343,379,224,548,0.0,False
jmeter_customer_view_requests:all_requests,2746,297,290,340,360,415,230,527,0.0,False
jmeter_customer_view_requests:with_filter_requests,2746,276,273,322,343,386,172,463,0.0,False
jmeter_customer_view_request,1646,253,165,559,705,976,115,1395,0.0,False
jmeter_customer_add_comment,2635,181,175,201,212,254,155,552,0.0,False
jmeter_customer_view_portal,1209,94,90,117,128,152,71,222,0.0,False
jmeter_customer_create_request:open_create_request_view,1757,93,89,112,123,145,71,194,0.0,False
jmeter_customer_create_request:create_request,1757,480,464,554,581,669,401,1131,0.0,False
jmeter_customer_create_request:view_request_after_creation,1757,142,137,177,188,217,109,287,0.0,False
jmeter_customer_share_request_with_org:search_org,440,24,23,26,28,53,20,64,0.0,False
jmeter_customer_share_request_with_org:add_org,438,552,377,1101,1387,1874,279,2082,0.0,False
jmeter_customer_share_request_with_org:remove_org,438,623,469,1209,1457,1799,345,2057,0.0,False
jmeter_customer_share_request_with_customer:search_customer,546,37,36,42,45,63,32,73,0.0,False
jmeter_customer_share_request_with_customer:add_customer,546,530,362,1036,1394,1900,276,2264,0.0,False
jmeter_customer_share_request_with_customer:remove_customer,545,790,544,1636,2162,2744,402,3340,0.0,False
selenium_customer_login:open_login_page,234,148,143,158,166,179,129,847,0.0,False
selenium_agent_login:open_login_page,142,193,184,204,210,236,168,1054,0.0,False
selenium_customer_login:login_and_view_portal,234,690,700,725,745,911,380,996,0.0,False
