10300,202,2065
10300,202,2066
10300,202,2067
10300,202,2068
10300,202,2069
10300,202,2071
10300,202,2073
10085,86,882
10085,86,897
10085,86,907
10085,86,914
10085,86,916
10085,86,927
10085,86,941
10154,152,1538
10154,152,1541
10158,157,1577
10158,157,1583
10192,195,2006
10192,195,2010
10026,16,43
10026,16,52
10026,16,61
10026,16,70
10026,16,88
10026,16,98
10068,69,723
10068,69,732
10059,59,588
10059,59,597
10083,82,747
10083,82,751
10083,82,761
10083,82,767
10083,82,784
10083,82,792
10143,143,1364
10143,143,1368
10143,143,1371
10143,143,1373
10143,143,1381
10143,143,1385
10030,19,59
10030,19,76
10030,19,89
10030,19,100
10030,19,121
10030,19,133
10147,149,1519
10147,149,1526
10147,149,1532
10147,149,1537
10147,149,1540
10147,149,1544
10147,149,1547
10024,14,120
10024,14,142
10189,190,1968
10189,190,1975
10084,85,874
10084,85,889
10060,61,599
10060,61,609
10060,61,615
10060,61,622
10060,61,626
10060,61,638
10060,61,645
10022,23,129
10022,23,152
10022,23,173
10022,23,192
10022,23,205
10022,23,235
10022,23,271
10077,77,738
10077,77,753
10077,77,766
10077,77,772
10077,77,794
10077,77,803
10113,115,1185
10113,115,1190
10113,115,1196
10113,115,1204
10113,115,1209
10113,115,1223
10113,115,1238
10047,48,447
10047,48,472
10091,91,834
10091,91,840
10091,91,850
10091,91,863
10091,91,880
10091,91,890
10196,196,2007
10196,196,2013
10124,124,1195
10124,124,1206
10124,124,1216
10124,124,1224
10124,124,1237
10124,124,1241
10102,102,984
10102,102,986
10102,102,991
10102,102,996
10102,102,1004
10102,102,1008
10141,144,1409
10141,144,1418
10141,144,1425
10141,144,1431
10141,144,1437
10141,144,1449
10141,144,1463
10112,114,1157
10112,114,1163
10112,114,1167
10112,114,1171
10112,114,1174
10112,114,1179
10112,114,1184
10144,145,1378
10144,145,1382
10144,145,1389
10144,145,1405
10144,145,1412
10078,81,804
10078,81,812
10145,146,1386
10145,146,1396
10145,146,1404
10145,146,1428
10145,146,1436
10132,133,1342
10132,133,1350
10093,96,924
10093,96,930
10093,96,938
10093,96,944
10093,96,950
10093,96,961
10093,96,969
10076,76,737
10076,76,756
10076,76,765
10076,76,791
10076,76,802
10042,41,358
10042,41,389
10173,173,1746
10173,173,1751
10173,173,1758
10173,173,1774
10173,173,1781
10074,75,786
10074,75,800
10021,11,31
10021,11,38
10021,11,47
10021,11,79
10021,11,87
10016,7,51
10016,7,66
10121,119,1146
10121,119,1150
10121,119,1154
10121,119,1165
10121,119,1169
10130,131,1306
10130,131,1320
10043,47,418
10043,47,445
10043,47,467
10043,47,483
10043,47,495
10043,47,514
10043,47,531
10106,107,1039
10106,107,1048
10082,83,789
10082,83,798
10082,83,807
10082,83,810
10082,83,813
10082,83,822
10082,83,833
10029,29,151
10029,29,174
10029,29,190
10029,29,206
10029,29,217
10029,29,249
10029,29,279
10065,64,594
10065,64,602
10065,64,610
10065,64,624
10065,64,630
10004,25,80
10004,25,95
10004,25,108
10004,25,146
10004,25,163
10155,156,1602
10155,156,1605
10155,156,1610
10155,156,1614
10155,156,1621
10155,156,1632
10155,156,1640
10108,109,1093
10108,109,1105
10007,4,55
10007,4,68
10197,198,2017
10197,198,2018
10199,200,2028
10199,200,2031
10199,200,2033
10199,200,2038
10199,200,2040
10169,171,1744
10169,171,1748
10169,171,1755
10169,171,1760
10169,171,1765
10169,171,1778
10169,171,1788
10064,66,703
10064,66,717
10013,10,85
10013,10,105
10025,20,158
10025,20,182
10149,151,1490
10149,151,1497
10149,151,1503
10149,151,1521
10149,151,1525
10062,63,627
10062,63,635
10110,108,1098
10110,108,1108
10117,116,1176
10117,116,1180
10044,45,285
10044,45,311
10044,45,339
10044,45,400
10044,45,417
10087,89,900
10087,89,912
10183,184,1903
10183,184,1909
10183,184,1913
10183,184,1918
10183,184,1922
10183,184,1928
10183,184,1935
10129,129,1289
10129,129,1297
10165,166,1726
10165,166,1735
10165,166,1739
10165,166,1743
10165,166,1747
10165,166,1761
10165,166,1776
10073,72,733
10073,72,742
10097,98,928
10097,98,936
10097,98,942
10097,98,955
10097,98,959
10103,104,1057
10103,104,1070
10103,104,1080
10103,104,1091
10103,104,1101
10103,104,1113
10103,104,1122
10133,135,1343
10133,135,1353
10063,65,652
10063,65,666
10063,65,680
10063,65,691
10063,65,701
10063,65,720
10063,65,731
10058,60,606
10058,60,619
10114,113,1121
10114,113,1129
10039,38,350
10039,38,385
10035,36,256
10035,36,277
10035,36,301
10035,36,327
10035,36,346
10035,36,398
10035,36,435
10123,123,1235
10123,123,1244
10162,161,1684
10162,161,1697
10012,12,114
10012,12,131
10012,12,150
10012,12,168
10012,12,184
10012,12,214
10012,12,243
10072,74,734
10072,74,745
10119,125,1256
10119,125,1263
10119,125,1268
10119,125,1275
10119,125,1278
10119,125,1290
10119,125,1300
10193,193,1987
10193,193,1989
10036,42,331
10036,42,365
10036,42,393
10036,42,415
10036,42,434
10036,42,470
10036,42,497
10168,168,1728
10168,168,1737
10156,159,1551
10156,159,1557
10156,159,1562
10156,159,1573
10156,159,1578
10138,138,1392
10138,138,1401
10138,138,1411
10138,138,1417
10138,138,1424
10138,138,1438
10138,138,1450
10105,106,1060
10105,106,1072
10105,106,1083
10105,106,1094
10105,106,1102
10105,106,1112
10105,106,1123
10080,78,740
10080,78,746
10080,78,750
10080,78,778
10080,78,788
10187,187,1910
10187,187,1915
10178,181,1899
10178,181,1906
10178,181,1911
10178,181,1916
10178,181,1921
10178,181,1929
10178,181,1937
10002,24,73
10002,24,96
10002,24,110
10002,24,149
10002,24,166
10053,54,513
10053,54,525
10140,139,1338
10140,139,1345
10140,139,1351
10140,139,1363
10140,139,1367
10159,160,1616
10159,160,1624
10137,141,1421
10137,141,1432
10137,141,1442
10137,141,1452
10137,141,1459
10137,141,1475
10137,141,1492
10011,6,138
10011,6,159
10011,6,178
10011,6,191
10011,6,202
10011,6,228
10011,6,259
10163,163,1615
10163,163,1622
10163,163,1629
10163,163,1642
10163,163,1650
10041,43,315
10041,43,348
10041,43,375
10041,43,402
10041,43,421
10041,43,456
10041,43,484
10017,18,118
10017,18,137
10017,18,157
10017,18,176
10017,18,187
10017,18,211
10017,18,242
10151,153,1608
10151,153,1613
10151,153,1620
10151,153,1627
10151,153,1630
10151,153,1645
10151,153,1660
10034,35,213
10034,35,237
10056,57,576
10056,57,585
10056,57,592
10056,57,600
10056,57,607
10056,57,621
10056,57,636
10139,140,1395
10139,140,1400
10139,140,1408
10139,140,1416
10139,140,1423
10139,140,1434
10139,140,1447
10052,53,401
10052,53,428
10052,53,451
10052,53,490
10052,53,500
10008,3,8
10008,3,10
10008,3,12
10008,3,17
10008,3,19
10048,51,422
10048,51,444
10048,51,463
10048,51,480
10048,51,489
10048,51,511
10048,51,529
10177,178,1825
10177,178,1826
10094,97,949
10094,97,957
10094,97,963
10094,97,968
10094,97,970
10094,97,976
10094,97,983
10069,70,658
10069,70,674
10069,70,686
10069,70,711
10069,70,721
10086,88,843
10086,88,855
10086,88,868
10086,88,895
10086,88,902
10200,201,2049
10200,201,2050
10200,201,2051
10200,201,2052
10200,201,2053
10200,201,2055
10200,201,2057
10180,180,1840
10180,180,1845
10182,182,1842
10182,182,1844
10182,182,1848
10182,182,1854
10182,182,1857
10118,120,1183
10118,120,1189
10118,120,1198
10118,120,1218
10118,120,1225
10032,33,183
10032,33,203
10032,33,219
10032,33,234
10032,33,250
10032,33,291
10032,33,341
10057,58,586
10057,58,595
10057,58,603
10057,58,613
10057,58,620
10057,58,633
10057,58,644
10157,158,1623
10157,158,1633
10157,158,1639
10157,158,1647
10157,158,1653
10157,158,1666
10157,158,1680
10126,128,1288
10126,128,1295
10170,170,1691
10170,170,1701
10170,170,1710
10170,170,1725
10170,170,1732
10089,87,888
10089,87,905
10188,189,1898
10188,189,1907
10188,189,1914
10188,189,1927
10188,189,1931
10104,105,1059
10104,105,1069
10104,105,1078
10104,105,1086
10104,105,1095
10104,105,1109
10104,105,1119
10095,95,899
10095,95,911
10095,95,917
10095,95,931
10095,95,937
10070,73,749
10070,73,755
10070,73,764
10070,73,775
10070,73,782
10070,73,799
10070,73,809
10179,179,1841
10179,179,1847
10006,27,84
10006,27,99
10006,27,113
10006,27,154
10006,27,169
10148,148,1506
10148,148,1514
10148,148,1522
10148,148,1527
10148,148,1531
10148,148,1539
10148,148,1546
10081,84,815
10081,84,820
10081,84,824
10081,84,828
10081,84,832
10081,84,847
10081,84,865
10038,37,352
10038,37,388
10107,111,1046
10107,111,1056
10107,111,1065
10107,111,1092
10107,111,1100
10015,32,155
10015,32,180
10015,32,195
10015,32,210
10015,32,223
10015,32,252
10015,32,287
10028,21,60
10028,21,74
10028,21,93
10028,21,127
10028,21,141
10023,17,132
10023,17,160
10111,112,1120
10111,112,1125
10111,112,1131
10111,112,1137
10111,112,1141
10111,112,1148
10111,112,1156
10100,103,1019
10100,103,1026
10100,103,1030
10100,103,1033
10100,103,1037
10100,103,1047
10100,103,1058
10172,175,1853
10172,175,1856
10172,175,1859
10172,175,1861
10172,175,1864
10172,175,1872
10172,175,1879
10096,94,919
10096,94,925
10096,94,932
10096,94,948
10096,94,952
10198,199,2024
10198,199,2026
10146,147,1435
10146,147,1444
10146,147,1451
10146,147,1457
10146,147,1464
10146,147,1476
