Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_agent_login_and_view_dashboard,50,354,342,400,429,470,301,491,0.0,False
jmeter_agent_add_comment:open_request_comment,864,18,17,20,22,39,12,52,0.0,False
jmeter_agent_add_comment:save_request_comment,864,404,400,455,480,517,272,774,0.0,False
jmeter_agent_view_request,796,228,220,280,292,335,149,450,0.0,False
jmeter_agent_browse_projects,334,60,58,72,80,96,46,119,0.0,False
jmeter_agent_view_customers,198,651,650,754,805,882,503,943,0.0,False
jmeter_agent_view_queues_small:all_open_queue,167,455,449,562,594,666,276,958,0.0,False
jmeter_agent_view_queues_small:random_queue,167,288,282,341,358,396,214,458,0.0,False
jmeter_agent_view_report_workload_small,133,1249,1071,1392,3562,4626,622,6094,0.0,False
jmeter_agent_view_queues_medium:all_open_queue,133,425,424,498,510,623,266,759,100.0,False
jmeter_agent_view_queues_medium:random_queue,133,300,292,357,377,415,214,485,0.0,False
jmeter_agent_view_report_workload_medium,100,822,804,965,1014,1270,613,1350,0.0,False
jmeter_agent_view_report_created_vs_resolved_medium,67,151,150,174,179,210,120,242,0.0,False
jmeter_agent_view_report_created_vs_resolved_small,165,150,146,175,185,207,122,230,0.0,False
jmeter_customer_login_and_view_portals,30,477,471,507,558,568,422,569,0.0,False
jmeter_customer_view_requests:my_requests,2746,251,246,284,298,334,205,565,0.0,False
jmeter_customer_view_requests:all_requests,2746,265,260,302,321,361,202,493,0.0,False
jmeter_customer_view_requests:with_filter_requests,2746,190,179,261,281,330,100,434,0.0,False
jmeter_customer_view_request,1646,161,148,219,247,303,109,383,0.0,False
jmeter_customer_add_comment,2635,175,171,193,202,219,155,370,0.0,False
jmeter_customer_view_portal,1209,87,84,107,115,139,64,178,0.0,False
jmeter_customer_create_request:open_create_request_view,1757,88,85,106,113,132,66,181,0.0,False
jmeter_customer_create_request:create_request,1757,459,445,531,557,609,385,776,0.0,False
jmeter_customer_create_request:view_request_after_creation,1757,135,129,171,183,210,103,329,0.0,False
jmeter_customer_share_request_with_org:search_org,440,24,23,25,27,35,20,55,0.0,False
jmeter_customer_share_request_with_org:add_org,438,370,330,502,633,772,266,874,0.0,False
jmeter_customer_share_request_with_org:remove_org,438,442,414,557,659,827,330,891,0.0,False
jmeter_customer_share_request_with_customer:search_customer,546,35,34,40,41,56,29,70,0.0,False
jmeter_customer_share_request_with_customer:add_customer,546,363,321,511,622,784,261,949,0.0,False
jmeter_customer_share_request_with_customer:remove_customer,546,528,478,728,840,1046,373,1173,0.0,False
selenium_agent_login:open_login_page,220,185,179,196,202,214,163,1041,0.0,False
selenium_customer_login:open_login_page,253,152,142,157,164,198,128,1975,0.0,False
selenium_agent_login:login_and_view_dashboard,220,753,746,792,806,857,642,1817,0.0,False
selenium_agent_login,220,940,930,978,1001,1036,817,2859,0.0,False
selenium_agent_browse_projects,220,327,325,348,364,384,293,469,0.0,False
selenium_customer_login:login_and_view_portal,253,706,707,751,773,939,380,1764,0.0,False
selenium_customer_login,253,859,853,900,940,1081,513,3740,0.0,False
selenium_customer_create_request:browse_all_portals,253,535,666,700,708,730,124,747,0.0,False
selenium_customer_create_request:view_portal,253,220,219,242,249,265,144,979,0.0,False
selenium_agent_view_customers,220,831,824,861,873,902,763,2075,0.0,False
selenium_customer_create_request:choose_request_type,253,728,727,771,783,811,575,835,0.0,False
selenium_agent_view_request,220,714,694,781,810,909,569,3343,0.0,False
selenium_customer_create_request:create_and_submit_request,253,362,264,627,641,673,201,3164,0.0,False
selenium_customer_create_request,253,1847,1868,2245,2303,2367,1175,5461,0.0,False
selenium_customer_view_request,253,263,244,335,378,462,198,932,0.0,False
selenium_customer_view_requests,253,444,438,490,511,545,372,620,0.0,False
selenium_agent_view_report_workload_medium,220,1380,1351,1476,1828,1919,816,1950,0.0,False
selenium_customer_view_all_requests,253,425,420,470,485,513,355,543,0.0,False
selenium_agent_view_report_created_vs_resolved_medium,220,801,795,832,847,944,757,983,0.0,False
selenium_customer_share_request_with_customer:search_for_customer_to_share_with,253,2642,2642,2675,2686,2712,2590,2728,0.0,False
selenium_agent_view_report_workload_small,220,1570,1316,1828,3791,4274,774,4827,0.0,False
selenium_customer_share_request:share_request_with_customer,253,1627,1592,1601,2101,2112,1583,2133,0.0,False
selenium_customer_share_request_with_customer,253,4269,4236,4295,4752,4803,4179,4822,0.0,False
selenium_agent_view_report_created_vs_resolved_small,220,809,793,884,900,930,749,1001,0.0,False
selenium_agent_add_comment:add comment,220,621,620,678,703,795,361,804,0.0,False
selenium_agent_add_comment,220,1295,1282,1385,1423,1660,1166,1781,0.0,False
selenium_customer_add_comment,253,1611,1564,1708,1968,2082,1468,3538,0.0,False
selenium_customer_log_out,253,619,610,762,776,798,210,808,0.0,False
selenium_agent_view_queues_large_project_:all_open_queue,220,1579,1552,1620,1665,1778,1455,4923,0.0,False
selenium_agent_view_queues_large_project:random_choice_queue,220,291,289,352,375,401,189,416,0.0,False
selenium_agent_view_queues_large_project,220,1871,1842,1963,2010,2134,1698,5276,0.0,False
selenium_agent_logout,220,585,585,632,638,659,444,720,0.0,False
