Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_agent_login_and_view_dashboard,50,395,378,482,505,626,304,662,0.0,False
jmeter_agent_add_comment:open_request_comment,864,18,17,21,24,45,9,327,0.0,False
jmeter_agent_add_comment:save_request_comment,864,319,326,421,444,509,168,1391,0.0,False
jmeter_agent_view_request,796,214,207,279,301,355,122,985,0.0,False
jmeter_agent_browse_projects,334,62,59,74,83,114,45,209,0.0,False
jmeter_agent_view_customers,198,674,642,736,784,843,524,5949,0.0,False
jmeter_agent_view_queues_small:all_open_queue,167,985,1055,1255,1319,1495,296,2844,0.0,False
jmeter_agent_view_queues_small:random_queue,167,299,295,354,383,428,189,528,0.0,False
jmeter_agent_view_report_workload_small,133,1676,1445,2221,3172,5218,664,5404,0.0,False
jmeter_agent_view_queues_medium:all_open_queue,133,900,1000,1224,1285,1343,263,1435,100.0,False
jmeter_agent_view_queues_medium:random_queue,133,303,305,363,377,408,185,430,0.0,False
jmeter_agent_view_report_workload_medium,100,1052,930,1507,1965,2079,674,2135,0.0,False
jmeter_agent_view_report_created_vs_resolved_medium,67,160,153,198,228,240,96,247,0.0,False
jmeter_agent_view_report_created_vs_resolved_small,165,150,149,182,191,203,100,236,0.0,False
jmeter_customer_login_and_view_portals,30,614,554,662,1042,1740,456,1935,0.0,False
jmeter_customer_view_requests:my_requests,2746,247,252,295,310,351,158,5443,0.0,False
jmeter_customer_view_requests:all_requests,2746,248,256,304,323,364,157,468,0.0,False
jmeter_customer_view_request,1646,232,151,568,682,1010,66,1295,0.0,False
jmeter_customer_view_requests:with_filter_requests,2746,241,244,301,318,374,133,682,0.0,False
jmeter_customer_add_comment,2635,141,169,193,204,260,63,721,0.0,False
jmeter_customer_view_portal,1209,92,90,113,123,145,64,205,0.0,False
jmeter_customer_create_request:open_create_request_view,1757,89,88,111,120,142,54,177,0.0,False
jmeter_customer_create_request:create_request,1757,389,424,506,544,627,218,1349,0.0,False
jmeter_customer_create_request:view_request_after_creation,1757,114,114,151,167,192,61,233,0.0,False
jmeter_customer_share_request_with_org:search_org,440,20,22,26,29,44,9,59,0.0,False
jmeter_customer_share_request_with_org:add_org,439,485,327,1087,1415,1732,147,1950,0.0,False
jmeter_customer_share_request_with_org:remove_org,438,553,402,1193,1412,1839,216,2036,0.0,False
jmeter_customer_share_request_with_customer:search_customer,546,33,34,40,43,65,22,79,0.0,False
jmeter_customer_share_request_with_customer:add_customer,546,464,315,1032,1303,1816,7,2100,0.0,False
jmeter_customer_share_request_with_customer:remove_customer,546,698,468,1593,2027,2863,149,3440,0.0,False
selenium_customer_login:open_login_page,244,146,140,158,165,182,127,758,0.0,False
selenium_agent_login:open_login_page,144,191,182,201,208,236,168,908,0.0,False
selenium_customer_login:login_and_view_portal,244,689,702,882,918,941,374,1942,0.0,False
selenium_customer_login,244,836,848,1017,1058,1095,515,2701,0.0,False
selenium_agent_login:login_and_view_dashboard,144,762,750,818,833,1043,694,1245,0.0,False
selenium_agent_login,144,953,936,1008,1028,1254,869,2155,0.0,False
selenium_agent_browse_projects,144,326,321,351,362,398,294,419,0.0,False
selenium_customer_create_request:browse_all_portals,244,556,661,688,702,723,124,1262,0.0,False
selenium_customer_create_request:view_portal,244,210,215,236,246,267,149,358,0.0,False
selenium_agent_view_customers,144,839,831,878,895,916,787,1239,0.0,False
selenium_customer_create_request:choose_request_type,244,716,716,764,777,809,603,993,0.0,False
selenium_customer_create_request:create_and_submit_request,244,336,259,616,630,658,199,667,0.0,False
selenium_customer_create_request,244,1820,1840,2196,2245,2336,1205,2900,0.0,False
selenium_customer_view_request,244,328,245,603,761,1074,177,1389,0.0,False
selenium_agent_view_request,144,755,747,864,884,945,617,1654,0.0,False
selenium_agent_view_report_workload_medium,144,1507,1370,1958,2331,2433,1283,2565,0.0,False
selenium_agent_view_report_created_vs_resolved_medium,144,802,794,828,839,926,772,949,0.0,False
selenium_agent_view_report_workload_small,144,2133,1812,3202,4786,5897,771,8449,0.0,False
selenium_agent_view_report_created_vs_resolved_small,144,828,804,892,909,970,741,1001,0.0,False
selenium_customer_view_requests,244,552,529,588,606,654,423,6504,0.0,False
selenium_customer_view_all_requests,244,505,505,566,581,630,414,732,0.0,False
selenium_agent_add_comment:add comment,144,604,613,656,674,691,486,710,0.0,False
selenium_agent_add_comment,144,1304,1296,1364,1389,1673,1196,1821,0.0,False
selenium_customer_share_request_with_customer:search_for_customer_to_share_with,244,2650,2651,2686,2699,2724,2590,2748,0.0,False
selenium_customer_share_request:share_request_with_customer,244,1717,1594,2116,2619,2635,1582,3135,0.0,False
selenium_customer_share_request_with_customer,244,4367,4249,4791,5294,5354,4183,5764,0.0,False
selenium_agent_view_queues_large_project_:all_open_queue,144,1750,1691,2061,2077,2323,1244,4123,0.0,False
selenium_agent_view_queues_large_project:random_choice_queue,144,301,303,368,378,406,201,419,0.0,False
selenium_agent_view_queues_large_project,144,2052,2014,2367,2393,2631,1521,4345,0.0,False
selenium_customer_add_comment,244,1673,1574,2024,2188,2582,1463,4130,0.0,False
selenium_customer_log_out,244,619,612,632,767,784,270,810,0.0,False
selenium_agent_view_queues_small_project_:all_open_queue,144,1802,1769,2178,2273,2512,1410,2658,0.0,False
selenium_agent_view_queues_small_project:random_choice_queue,144,326,324,402,423,483,201,547,0.0,False
selenium_agent_view_queues_small_project,144,2129,2156,2478,2596,2836,1662,3039,0.0,False
load_aws_project,144,1543,1490,1802,1841,1923,1175,1984,0.0,True
select_aws_opsitem_issue_type,144,161,144,162,169,776,132,1231,0.0,True
set_aws_opsitem_summary,144,70,68,76,81,90,64,94,0.0,True
set_aws_opsitem_description,144,136,134,149,157,165,121,171,0.0,True
submit_aws_opsitem,144,639,619,684,706,948,592,1117,0.0,True
load_aws_create_issue_modal,144,1748,1717,1802,1839,2579,1586,2771,0.0,True
selenium_aws_opsitem,144,3327,3252,3608,3652,4192,2807,4340,0.0,True
selenium_agent_logout,144,563,562,612,622,661,477,690,0.0,False
