Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_agent_login_and_view_dashboard,50,549,406,639,1034,3122,306,3458,0.0,False
jmeter_agent_add_comment:open_request_comment,864,18,17,21,24,47,9,303,0.0,False
jmeter_agent_add_comment:save_request_comment,864,318,322,414,442,501,167,1468,0.0,False
jmeter_agent_view_request,796,207,198,270,294,356,123,1031,0.0,False
jmeter_agent_browse_projects,334,59,57,68,74,90,43,235,0.0,False
jmeter_agent_view_queues_small:all_open_queue,167,891,1039,1257,1304,1422,299,2082,0.0,False
jmeter_agent_view_queues_small:random_queue,167,314,308,380,403,437,176,454,0.0,False
jmeter_agent_view_customers,198,658,622,698,736,853,529,5774,0.0,False
jmeter_agent_view_queues_medium:all_open_queue,133,867,1071,1267,1315,1397,265,1421,100.0,False
jmeter_agent_view_report_workload_small,133,1864,1486,2817,4513,5158,679,5417,0.0,False
jmeter_agent_view_queues_medium:random_queue,133,318,324,384,405,481,198,601,0.0,False
jmeter_agent_view_report_workload_medium,100,1141,906,1777,2165,2262,684,2270,0.0,False
jmeter_agent_view_report_created_vs_resolved_medium,67,160,159,192,204,214,104,223,0.0,False
jmeter_agent_view_report_created_vs_resolved_small,165,168,164,192,210,298,107,489,0.0,False
jmeter_customer_login_and_view_portals,30,770,556,1148,1897,2668,464,2820,0.0,False
jmeter_customer_view_requests:my_requests,2746,233,217,287,300,331,159,6239,0.0,False
jmeter_customer_view_requests:all_requests,2746,224,209,280,293,330,158,635,0.0,False
jmeter_customer_view_requests:with_filter_requests,2746,228,209,296,320,387,142,650,0.0,False
jmeter_customer_view_request,1646,205,142,430,574,1122,66,1460,0.0,False
jmeter_customer_add_comment,2635,127,96,199,209,231,68,358,0.0,False
jmeter_customer_view_portal,1209,96,93,118,131,157,60,258,0.0,False
jmeter_customer_create_request:open_create_request_view,1757,91,87,116,127,151,53,639,0.0,False
jmeter_customer_create_request:create_request,1757,338,287,477,531,577,214,914,0.0,False
jmeter_customer_create_request:view_request_after_creation,1757,103,93,139,164,189,61,244,0.0,False
jmeter_customer_share_request_with_org:search_org,440,18,15,26,28,38,9,59,0.0,False
jmeter_customer_share_request_with_org:add_org,438,406,297,842,1160,1956,153,2084,0.0,False
jmeter_customer_share_request_with_org:remove_org,438,480,368,882,1185,1968,210,2207,0.0,False
jmeter_customer_share_request_with_customer:search_customer,546,31,28,39,43,63,21,73,0.0,False
jmeter_customer_share_request_with_customer:add_customer,546,397,298,853,1065,1762,10,1930,0.0,False
jmeter_customer_share_request_with_customer:remove_customer,546,596,444,1273,1667,2732,161,2978,0.0,False
selenium_agent_login:open_login_page,143,198,183,204,213,255,171,1758,0.0,False
selenium_agent_login:login_and_view_dashboard,143,762,755,806,823,1018,683,1138,0.0,False
selenium_agent_login,143,961,943,999,1012,1238,862,2897,0.0,False
selenium_agent_browse_projects,143,326,322,349,359,410,293,492,0.0,False
selenium_customer_login:open_login_page,239,159,142,159,167,208,128,3625,0.0,False
selenium_agent_view_customers,143,837,825,864,880,1029,790,1620,0.0,False
selenium_agent_view_request,143,770,730,851,884,1861,606,2882,0.0,False
selenium_customer_login:login_and_view_portal,239,677,700,739,901,933,361,2571,0.0,False
selenium_customer_login,239,837,845,892,1043,1082,496,6197,0.0,False
selenium_customer_create_request:browse_all_portals,239,580,663,692,705,717,121,1680,0.0,False
selenium_agent_view_report_workload_medium,143,1596,1434,2350,2420,2858,1290,2965,0.0,False
selenium_customer_create_request:view_portal,239,216,217,241,247,272,146,1025,0.0,False
selenium_agent_view_report_created_vs_resolved_medium,143,804,793,829,928,967,768,988,0.0,False
selenium_customer_create_request:choose_request_type,239,722,721,774,784,829,601,1079,0.0,False
selenium_agent_view_report_workload_small,143,2069,1807,2811,3295,5890,1273,5900,0.0,False
selenium_agent_view_report_created_vs_resolved_small,143,816,790,895,910,955,733,978,0.0,False
selenium_customer_create_request:create_and_submit_request,239,375,267,627,637,673,203,2291,0.0,False
selenium_customer_create_request,239,1895,1874,2255,2297,2373,1213,6077,0.0,False
selenium_customer_view_request,239,352,253,678,806,1396,186,1548,0.0,False
selenium_agent_add_comment:add comment,143,603,597,674,699,741,488,788,0.0,False
selenium_agent_add_comment,143,1302,1291,1374,1399,1571,1179,1967,0.0,False
selenium_agent_view_queues_large_project_:all_open_queue,143,1783,1694,2087,2270,2468,1246,4134,0.0,False
selenium_agent_view_queues_large_project:random_choice_queue,143,295,300,365,375,387,196,415,0.0,False
selenium_agent_view_queues_large_project,143,2080,2030,2421,2534,2814,1469,4402,0.0,False
selenium_agent_view_queues_small_project_:all_open_queue,143,1797,1714,2205,2263,2307,1386,2431,0.0,False
selenium_agent_view_queues_small_project:random_choice_queue,143,329,321,402,417,449,213,546,0.0,False
selenium_agent_view_queues_small_project,143,2127,2093,2514,2586,2665,1620,2710,0.0,False
selenium_customer_view_requests,239,579,527,607,628,781,436,7251,0.0,False
selenium_customer_view_all_requests,239,508,516,570,585,620,399,726,0.0,False
load_aws_project,143,1670,1639,1905,1961,2184,1369,2269,0.0,True
select_aws_opsitem_issue_type,143,147,145,163,168,174,131,196,0.0,True
set_aws_opsitem_summary,143,70,69,78,80,88,63,90,0.0,True
set_aws_opsitem_description,143,137,136,149,156,163,125,168,0.0,True
selenium_customer_share_request_with_customer:search_for_customer_to_share_with,239,2648,2646,2687,2700,2724,2577,2726,0.0,False
submit_aws_opsitem,143,666,657,715,735,1137,594,1169,0.0,True
load_aws_create_issue_modal,143,1772,1752,1832,1890,2534,1634,2731,0.0,True
selenium_aws_opsitem,143,3494,3458,3773,3886,4665,3062,5003,0.0,True
selenium_agent_logout,143,565,559,607,629,820,477,1121,0.0,False
selenium_customer_share_request:share_request_with_customer,239,1748,1594,2111,2617,3140,1582,3647,0.0,False
selenium_customer_share_request_with_customer,239,4397,4244,4809,5292,5842,4167,6310,0.0,False
selenium_customer_add_comment,239,1701,1573,2073,2187,2973,1469,3641,0.0,False
selenium_customer_log_out,239,613,611,624,635,652,286,1118,0.0,False
