Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_agent_login_and_view_dashboard,50,318,294,405,467,586,228,661,0.0,False
jmeter_agent_add_comment:open_request_comment,864,16,14,18,20,44,10,335,0.0,False
jmeter_agent_add_comment:save_request_comment,864,229,217,283,316,395,136,2940,0.0,False
jmeter_agent_view_request,796,165,158,206,230,280,109,653,0.0,False
jmeter_agent_browse_projects,334,56,54,70,79,108,41,124,0.0,False
jmeter_agent_view_customers,198,599,592,695,720,836,463,1079,0.0,False
jmeter_agent_view_report_workload_small,134,892,787,1263,1700,2367,534,3492,0.0,False
jmeter_agent_view_queues_small:all_open_queue,167,4890,7250,7729,7884,8216,253,8485,0.0,False
jmeter_agent_view_queues_small:random_queue,167,234,226,289,312,342,161,366,0.0,False
jmeter_agent_view_queues_medium:all_open_queue,133,1717,432,7411,7800,8027,237,8653,100.0,False
jmeter_agent_view_queues_medium:random_queue,133,236,231,298,309,335,167,338,0.0,False
jmeter_agent_view_report_workload_medium,100,744,732,869,907,1045,581,1130,0.0,False
jmeter_agent_view_report_created_vs_resolved_medium,67,118,113,145,167,193,85,199,0.0,False
jmeter_agent_view_report_created_vs_resolved_small,165,114,110,143,156,170,83,178,0.0,False
jmeter_customer_login_and_view_portals,30,448,416,533,652,742,372,743,0.0,False
jmeter_customer_view_requests:my_requests,2747,172,170,212,229,261,72,572,0.0,False
jmeter_customer_view_requests:all_requests,2746,190,186,230,248,294,117,403,0.0,False
jmeter_customer_view_requests:with_filter_requests,2746,110,101,159,178,229,54,442,0.0,False
jmeter_customer_view_request,1646,91,88,115,126,151,52,465,0.0,False
jmeter_customer_add_comment,2636,84,80,102,114,139,63,199,0.0,False
jmeter_customer_view_portal,1209,70,68,90,100,122,48,198,0.0,False
jmeter_customer_create_request:open_create_request_view,1757,60,59,77,84,103,41,137,0.0,False
jmeter_customer_create_request:create_request,1757,245,240,294,315,357,179,601,0.0,False
jmeter_customer_create_request:view_request_after_creation,1757,69,66,90,101,126,45,194,0.0,False
jmeter_customer_share_request_with_org:search_org,440,13,12,14,15,21,9,42,0.0,False
jmeter_customer_share_request_with_org:add_org,439,345,360,472,492,556,145,614,0.0,False
jmeter_customer_share_request_with_org:remove_org,438,377,378,483,522,603,193,750,0.0,False
jmeter_customer_share_request_with_customer:search_customer,546,25,23,30,31,48,19,56,0.0,False
jmeter_customer_share_request_with_customer:add_customer,546,326,340,446,469,531,141,569,0.0,False
jmeter_customer_share_request_with_customer:remove_customer,546,405,418,520,547,627,206,732,0.0,False
selenium_agent_login:open_login_page,226,158,149,166,173,194,132,1602,0.0,False
selenium_customer_login:open_login_page,285,130,122,134,141,154,110,2141,0.0,False
selenium_agent_login:login_and_view_dashboard,226,713,712,762,778,814,606,1423,0.0,False
selenium_agent_login,226,872,863,920,938,977,750,3026,0.0,False
selenium_customer_login:login_and_view_portal,285,612,692,862,879,916,328,1004,0.0,False
selenium_customer_login,285,743,815,987,1011,1042,443,3145,0.0,False
selenium_agent_browse_projects,226,295,292,315,324,337,262,705,0.0,False
selenium_customer_create_request:browse_all_portals,285,387,180,683,689,707,139,1277,0.0,False
selenium_customer_create_request:view_portal,285,180,174,194,203,218,149,1055,0.0,False
selenium_customer_create_request:choose_request_type,285,677,671,730,741,791,608,1083,0.0,False
selenium_agent_view_customers,226,792,781,818,828,860,724,2777,0.0,False
selenium_customer_create_request:create_and_submit_request,285,335,261,606,624,645,227,3569,0.0,False
selenium_customer_create_request,285,1581,1600,1864,2116,2200,1159,6987,0.0,False
selenium_agent_view_request,226,671,648,717,771,859,555,4170,0.0,False
selenium_customer_view_request,285,220,215,250,270,325,148,1130,0.0,False
selenium_customer_view_requests,285,348,336,409,430,495,235,865,0.0,False
selenium_customer_view_all_requests,285,323,310,373,392,708,250,764,0.0,False
selenium_agent_view_report_workload_medium,226,1321,1362,1415,1443,1484,772,1894,0.0,False
selenium_agent_view_report_created_vs_resolved_medium,226,786,770,839,910,978,734,1238,0.0,False
selenium_customer_share_request_with_customer:search_for_customer_to_share_with,285,2647,2647,2681,2691,2717,2585,2740,0.0,False
selenium_agent_view_report_workload_small,226,1306,1268,1449,2290,3206,749,3813,0.0,False
selenium_agent_view_report_created_vs_resolved_small,226,768,760,800,846,903,728,915,0.0,False
selenium_customer_share_request:share_request_with_customer,285,1597,1594,1605,1611,1620,1584,2109,0.0,False
selenium_customer_share_request_with_customer,285,4246,4243,4283,4294,4316,4180,4772,0.0,False
selenium_agent_add_comment:add comment,226,666,662,732,750,848,388,1027,0.0,False
selenium_agent_add_comment,226,1355,1352,1426,1452,1617,1152,1743,0.0,False
selenium_customer_add_comment,285,1513,1493,1545,1560,1610,1416,4207,0.0,False
selenium_customer_log_out,285,238,218,245,263,710,186,726,0.0,False
selenium_agent_view_queues_large_project_:all_open_queue,226,1754,1505,1800,4727,5044,1187,5203,0.0,False
selenium_agent_view_queues_large_project:random_choice_queue,226,293,287,353,373,404,198,662,0.0,False
selenium_agent_view_queues_large_project,226,2048,1788,2088,5118,5371,1468,5533,0.0,False
selenium_agent_logout,226,461,456,510,525,574,373,607,0.0,False
